case_id,compute_work,council_branch_compute_work,council_branch_validation_nodes,council_compute_work,council_initial_compute_work,council_initial_validations,discovering_node,finishing_node,host_wall_seconds,mode,pouw_computations,pouw_compute_work,pouw_time,proof_hash_checks,proof_hash_compute_work,proof_semantic_checks,proof_semantic_compute_work,search_compute_work,simulation_time,total_computations,total_compute_work,total_hashes,total_time,transcript_compute_work,transcript_records,validation_computations,validation_compute_work,validation_time,validation_valid
16,,0.0,0,0.0,0.0,0,node1,node5,0.05628246500009482,none,1544,0.05163860451035893,21.74625698492956,0,0.0,0,0.0,0.05163860451035893,21.74625698492956,1544.0,0.05163860451035893,,21.74625698492956,0.0,0,0.0,0.0,0.0,True
16,,0.0,0,0.0,0.0,0,node3,node3,0.13115025800016156,proof,1516,0.05984847136156124,31.396265752126066,2788,0.00795516505502164,2801,0.05167354888465447,0.05070215313322807,179.71151073662864,3572.3810868689225,0.11947718530123735,,179.71151073662864,0.009146318228333174,2788,1782.9051577950934,0.05962871393967611,148.31524498450258,True
16,,0.030747936124204345,196,0.03076840007845726,2.046395425291507e-05,4,node1,node5,0.09517717200014886,council,1544,0.05163860451035893,21.74625698492956,0,0.0,0,0.0,0.05163860451035893,66.4198405887212,2463.9785736194326,0.0824070045888162,,66.4198405887212,0.0,0,919.9785736194326,0.03076840007845726,44.67358360379164,True
17,0.07368008560901984,,,,,,,,0.04798740599972007,pow,,,,,,,,,25.5564263322884,,,64758,,,,,,,
17,,0.0,0,0.0,0.0,0,node1,node2,0.11443953799971496,none,3316,0.1109025988059263,38.611677142313326,0,0.0,0,0.0,0.1109025988059263,38.611677142313326,3316.0,0.1109025988059263,,38.611677142313326,0.0,0,0.0,0.0,0.0,True
17,,0.0,0,0.0,0.0,0,node1,node3,0.29989721499987354,proof,3216,0.1268808750699228,56.424778272859974,5890,0.01680628485440368,5903,0.10890002108750993,0.10755812960188751,258.02465105849444,7552.384716439051,0.2525871810118364,,258.02465105849444,0.019322745468035293,5890,3758.6324846439106,0.12570630594191362,201.59987278563446,True
17,,0.07169289188143564,457,0.07171335583568855,2.046395425291507e-05,4,node1,node2,0.1962560530000701,council,3316,0.1109025988059263,38.611677142313326,0,0.0,0,0.0,0.1109025988059263,161.08869567697582,5460.237290302667,0.18261595464161484,,161.08869567697582,0.0,0,2144.237290302667,0.07171335583568855,122.4770185346625,True
18,0.0436268754839905,,,,,,,,0.028932343000178662,pow,,,,,,,,,16.959514170040485,,,38344,,,,,,,
18,,0.0,0,0.0,0.0,0,node1,node4,0.032003178000195476,none,957,0.03200657028265123,12.562876520514381,0,0.0,0,0.0,0.03200657028265123,12.562876520514381,957.0,0.03200657028265123,,12.562876520514381,0.0,0,0.0,0.0,0.0,True
18,,0.0,0,0.0,0.0,0,node4,node5,0.07397322099996018,proof,891,0.03516300479138761,17.406499680249038,1635,0.004665242060602719,1648,0.03040271637340613,0.029799220607985625,82.55627257838283,2099.9135869029783,0.07023096322539646,,82.55627257838283,0.005363784183401987,1635,1048.535845139811,0.035067958434008846,65.14977289813379,True
18,,0.016942740313337087,108,0.01696320426759,2.046395425291507e-05,4,node1,node4,0.048370343999977194,council,957,0.03200657028265123,12.562876520514381,0,0.0,0,0.0,0.03200657028265123,32.72399984272416,1464.2016883009474,0.04896977455024123,,32.72399984272416,0.0,0,507.2016883009473,0.01696320426759,20.16112332220978,True
